"sample","Astrocyte","Oligodendrocyte","Mphage/Microglia","Neuron","Endothelial","Ependymal","OPC","Radial Glia","Plasma B cell","Eosino-/Neutrophils","T Cells/NK Cells"
"P475v7",-0.0443305915655753,0.220867233044759,0.166411814057984,-0.0624830076059119,0.0299746179478464,-0.00589297436472675,-0.0424220324260155,-0.0496686457896486,0.101754428122204,0.0934708940786767,-0.00660997100475605
"P475v8",-0.0685837629363801,0.127193130241876,0.244665124741009,-0.071083455070544,-0.00577173866927469,-0.00236812058579256,-0.056512223099968,-0.0542973059371158,0.112240416405268,0.130958268404938,0.0203742201696402
"P481v1",-0.0199235525303967,0.111354689672617,-0.0169256030181267,0.0945311990764021,0.0636678972909196,-0.00388225946285429,-0.075072250667125,0.0145684385097819,-0.00667509345050989,-0.0177484544731285,-0.0216389583697854
"P481v2",-0.0446234043677839,-0.0224479299758199,0.056327457673132,-0.0530841856558221,-0.0110026146142431,-0.00452950329583734,-0.0711102590366174,-0.0430765069434154,0.00800551453194137,0.0434327060980002,-0.0200760310217776
"P481v3",-0.0437088641395062,0.142344240585235,0.0722558790986632,-0.0432814311342591,0.0975035148330239,0.00050434541420639,-0.0559304106395988,-0.0434991096944687,0.0257986861661391,0.0583176443224052,-0.0182322471185218
"P481v4",-0.0510492311729903,-0.0353834813113227,0.0246648802286711,-0.0689502832707619,-0.0757295659605217,-0.00334871675433566,-0.0897964447911698,-0.0401122596512518,0.0431211484441311,0.0322169417010696,-0.00301791742030224
"P481v5",-0.0521402017517841,-0.0142615361476369,0.0571771338134897,-0.0571701315855176,-0.0201334638528537,-0.00550635804059028,-0.088855256105082,-0.0461418111528418,0.040833886742411,0.0275214106356278,-0.00426322075619893
"P481v6",-0.0511214725925763,0.171769058721151,0.0996387985030997,-0.067330324282943,-0.0226134948417389,-0.00894422033521414,-0.0719231911328893,-0.0529405135797893,0.053236635812494,0.0722792629804111,-0.0112622711368446
"P481v7",-0.0562217247135161,0.283173931869455,0.0699348117265882,-0.0643108368771872,0.0698609198797189,-0.0041057172266991,-0.0802949094699234,-0.0503007364415862,0.0507891199529331,0.0654639082321384,-0.0104565153836327
"P481v8",-0.0519656379197125,-0.0422403700505989,-0.00364052140430764,-0.0703215641768808,-0.083385218718453,-0.00513767134273166,-0.0647065754650227,-0.0308787245154623,0.0816097742643161,0.0819371828934849,0.006246029035038
"P481v10",-0.0540093806208183,0.199685086298473,0.0920667776076984,-0.0668726220029301,-0.0721301498544861,-0.00476631581245701,-0.0830088076708815,-0.0519030328746532,0.0210904136754227,0.0872306074316729,-0.0116994360079627
