""	"Angiogenesis"	"Apoptosis"	"Cell_Cycle"	"Differentiation"	"DNA_damage"	"DNA_repair"	"EMT"	"Hypoxia"	"Inflammation"	"Invasion"	"Metastasis"	"Proliferation"	"Quiescence"	"Stemness"
"P450v10"	-0.228488889959669	-0.150399678064205	0.145682901961279	-0.158718787677209	0.327578534201652	0.599329010990309	-0.263936310673826	-0.263025061507114	-0.475553786103658	-0.229564326240061	-0.267020256843195	-0.166914633616797	-0.158159384712786	0.0535213751130733
"P413v1"	-0.0225748375126414	0.072982954808438	1.64135801518099	0.0828223693268814	0.565483016082751	0.833497871313601	0.520362450022583	-0.167734354026518	-0.137575602046493	0.426442424761784	0.369600123022519	0.420146189037039	-0.14114087057728	0.300139132833275
"P413v2"	0.886039206064009	0.161916923939853	0.605172192195437	0.281623564108276	0.182236695491638	0.157264057058675	1.13731919679555	-0.0822326350490639	0.0882435323413632	1.06940422723461	0.555345728452875	0.278781740398102	0.355609063541421	0.211932634452889
"P413v3"	0.347679499525817	0.187206386906382	0.562377537874075	0.331242136670618	0.290091293533014	0.109041234295522	0.99897082786471	0.776135564970949	0.710364521827128	0.750933949231541	0.840217422973372	0.486794915534852	0.281577062923347	0.106281323886629
"P413v4"	0.499006388829924	0.237944757447631	0.399703398149278	0.310110455805971	0.206582745013145	0.0632330952164091	0.95220182826004	0.752357128399074	0.721674596965855	0.815364471086665	0.755880708665282	0.394410761048258	0.403787776139617	0.084127882829301
"P413v5"	-0.0373098914926458	0.206517038808138	0.462107361586475	0.136747699237625	0.147423110487793	0.13436683124717	0.130065728821904	-0.165754034900553	0.207318295070776	0.250940855486332	0.132229923677256	0.229713806568248	-0.0127946289362482	0.0413827448854247
"P413v6"	0.267958745505065	0.33128300091633	0.179219964955812	0.299427366655855	0.126086384904794	0.0387684684614527	0.634803661812512	0.0841557304432234	0.437671738377567	0.818467550684129	0.466049525696893	0.320738607269725	0.391146192536405	0.0792607841807897
"P413v7"	0.0789937137605149	0.201647525105254	0.185752508232354	0.0999993091367058	0.108025925627609	0.0431356188287866	0.511915065562112	0.22081626376757	0.385558277342911	0.519065131445979	0.371808680415529	0.198513936223943	0.0748690977953332	-0.0277456831039332
"P413v8"	0.689942587130847	0.21331207779063	0.419437227495098	0.198324834968714	0.17756289294072	0.107404519581024	0.906150375097238	-0.0811948330842842	0.326850899800832	0.915204241013657	0.597907414815752	0.274635215580223	0.0507862182745972	0.091307159837508
"P413v9"	0.250336178868154	0.334815354890232	-0.03078417389838	0.393790549410089	0.168547854953865	-0.205690754322762	0.397232708881277	0.0327437312488059	0.551167418440189	0.567292102403985	0.404268491111561	0.288216292096097	0.394372463018465	0.140596707956811
"P413v10"	-0.101391324962876	0.199525592346607	0.152832550820715	0.085767092932798	0.106231231855	0.0879859845623938	0.308327724694902	-0.0749925329728043	0.204665867393737	0.381168834445641	0.290066223217906	0.088971947225425	0.0381319231389745	0.0467294195655949
"P413surg"	-0.250786164913385	0.452783570442487	0.600454925371921	-0.0444717175060159	0.44267376637147	0.893676480413145	0.308713981301095	0.0509792099648979	0.147832317066452	0.679153617114856	0.213500936548569	0.118575763721767	0.0993331968758281	0.0980608446597177
"P454v1"	0.218912174538921	-0.0539366652915429	0.566331565934266	0.0350470042016401	0.148674121746522	0.364641675089692	0.382114423361103	-0.267081937009647	-0.20170091655183	0.467298675021971	0.150493327853495	0.0662435799208545	-0.0862628564668719	0.0644777650959359
"P454v2"	0.0915291902569498	0.232088116332521	0.765548109576133	0.00972822526373976	0.449288367198864	0.672624989172025	0.291599195113321	0.456678040311224	-0.100292825045114	0.573053298238084	0.24730314432853	0.314170262199263	-0.00963426691722099	0.0902215516922078
"P454v3"	0.127084400704296	0.109694355938333	0.664252794795006	0.0304681430574028	0.266434051115002	0.409986820352044	0.237677409748539	-0.294948271218596	0.0242985929581352	0.543914244738409	0.215548099778199	0.170781659995619	0.245820323569415	-0.000288793112929826
"P454v4"	0.429668114577801	0.243482555859321	0.252261903159973	0.211749693042065	0.179110578745911	0.170898339113334	0.713018659832586	0.603389058133821	0.712237216284069	0.84132510176922	0.546472348094177	0.212577595058424	0.333540709628711	-0.0314284674300464
"P454v5"	1.15272113912524	0.541816736724086	-0.210282209511344	0.398969762159024	0.39012249991649	0.210615259165701	0.766210395374498	3.01984308559223	0.895429632355674	0.805672938754369	0.954474353357298	0.408277770288561	0.694175104736079	0.0706712020655
"P454v6"	0.182532170369085	0.177353366578272	0.649059984949865	0.112545133062812	0.276560792963405	0.460256494131601	0.284050822957192	-0.234287600375833	0.070953057054691	0.551397428153703	0.28975866385755	0.163754491863826	0.194831455923155	-0.00607643006127833
"P454v7"	0.0510888530435731	-0.0545353228308325	0.746529564891423	-0.041395990415933	0.20568224681714	0.494658582202025	0.310386150992862	-0.20113567317617	-0.250486630928484	0.439460816203062	0.0787369023849098	0.0783618289507034	-0.067265406011647	0.032803543191923
"P454v8"	0.358482982466777	0.0317726331583251	-0.496687847713284	-0.0280221176103422	-0.355757491073687	-0.559693324301726	-0.0338661481145381	0.155635755386381	-0.0400581840465585	-0.0345430436868208	-0.103609836213752	-0.189527311632514	0.201848984822382	-0.0281087840759101
"P454v9"	0.0668079304708512	-0.0772020726792485	0.213770260531633	-0.175157722849894	-0.0950638859564127	-0.0630870757494426	0.0724554391727495	-0.163261177936972	-0.23524603285022	0.143612587835806	-0.108417404190425	-0.0934617229045241	-0.0367629356988066	-0.0684511658814391
"P454v10"	0.286570614114575	0.0126702670654582	0.602013486011983	0.0599852092883629	0.190192120474435	0.366127327040645	0.45370384031132	0.000786230782560664	0.0112485658938106	0.541897906203828	0.247945515459624	0.11753112837331	0.0417965060057401	0.0425223450181917
"P455v1"	-0.251395492846686	-0.128720068609527	-0.546348938677073	-0.141835845441253	-0.338742301603429	-0.390804410312255	-0.287840745228162	-0.0180564930316951	-0.29439972216825	-0.315578713490575	-0.282314792125999	-0.312476687279017	-0.245100118150385	-0.104022691616259
"P455v2"	-0.22944561548435	-0.0340490842160094	-0.441881439517733	-0.0532596831702347	-0.227717776341745	-0.329802363390552	-0.230720692632032	-0.154621734639783	-0.03464474486561	-0.157199053233763	-0.168211413989818	-0.331587539093321	0.113003765922288	-0.0330054231035893
"P455v3"	0.0770075850479768	0.244805614230357	-0.246765664112434	0.128633054717903	-0.219947202250209	-0.321055246875504	0.242009087101411	-0.0793778407625987	0.219798186470686	0.224836313092324	0.138192116291548	0.179475784438307	0.325980713002022	0.00204529876082202
